date,start_station_name,avgTemp,season,month,value
2022-01-26,12 St & Sinatra Dr N,-0.2299999999999999,winter,1,1
2022-01-16,12 St & Sinatra Dr N,-0.8,winter,1,1
2022-01-17,Essex Light Rail,0.39,winter,1,1
2022-01-20,Christ Hospital,0.51,winter,1,1
2022-01-31,Essex Light Rail,-0.3399999999999999,winter,1,1
2022-01-18,Essex Light Rail,0.18,winter,1,1
2022-01-19,Grove St PATH,0.32,winter,1,1
2022-01-16,Grove St PATH,-0.8,winter,1,1
2022-01-13,Grove St PATH,0.4,winter,1,1
2022-01-05,Grove St PATH,0.32,winter,1,1
2022-01-13,Hilltop,0.4,winter,1,1
2022-01-08,Essex Light Rail,-0.25,winter,1,1
2022-01-25,12 St & Sinatra Dr N,0.36,winter,1,1
2022-01-10,Madison St & 1 St,0.16,winter,1,1
2022-01-14,12 St & Sinatra Dr N,0.48,winter,1,1
2022-01-06,Willow Ave & 12 St,0.49,winter,1,1
2022-01-09,Willow Ave & 12 St,0.1399999999999999,winter,1,1
2022-01-01,Grand St,1.16,winter,1,1
2022-01-17,Pershing Field,0.39,winter,1,1
2022-01-14,Christ Hospital,0.48,winter,1,1
2022-01-17,Grand St,0.39,winter,1,1
2022-01-22,Montgomery St,-0.5900000000000001,winter,1,1
2022-01-05,Grand St,0.32,winter,1,1
2022-01-02,Grand St,1.14,winter,1,1
2022-01-02,Montgomery St,1.14,winter,1,1
2022-01-24,Grand St,-0.02,winter,1,1
2022-01-13,Grand St,0.4,winter,1,1
2022-01-14,Grand St,0.48,winter,1,1
2022-01-26,Madison St & 1 St,-0.2299999999999999,winter,1,1
2022-01-22,12 St & Sinatra Dr N,-0.5900000000000001,winter,1,1
2022-01-28,Willow Ave & 12 St,0.01,winter,1,1
2022-01-31,Willow Ave & 12 St,-0.3399999999999999,winter,1,1
2022-01-25,Willow Ave & 12 St,0.36,winter,1,1
2022-01-10,Willow Ave & 12 St,0.16,winter,1,1
2022-01-27,Madison St & 1 St,-0.42,winter,1,1
2022-01-05,City Hall - Washington St & 1 St,0.32,winter,1,1
2022-01-19,Union St,0.32,winter,1,1
2022-01-23,Montgomery St,-0.0699999999999999,winter,1,1
2022-01-20,Riverview Park,0.51,winter,1,1
2022-01-01,12 St & Sinatra Dr N,1.16,winter,1,1
2022-01-02,Montgomery St,1.14,winter,1,1
2022-01-27,Madison St & 1 St,-0.42,winter,1,1
